position_name,location,position_count,date_scrapping
data engineer,Atlanta Georgia,542,57:41.1
data engineer,Denver Colorado,434,04:00.1
data engineer,San Jose California,473,13:46.0
data engineer,Denver Colorado,436,28:39.7
data engineer,San Jose California,472,32:12.1
data engineer,Denver Colorado,437,37:44.6
data engineer,San Jose California,471,38:28.2
data engineer,Denver Colorado,437,32:06.7
data engineer,San Jose California,477,33:37.7
data engineer,Atlanta Georgia,547,34:26.9
data engineer,Denver Colorado,438,38:46.9
data engineer,San Jose California,479,39:40.1
data engineer,Atlanta Georgia,547,40:33.4
data engineer,Denver Colorado,439,45:29.8
data engineer,San Jose California,465,47:11.4
data engineer,Denver Colorado,424,49:37.2
data engineer,San Jose California,467,52:26.0
data engineer,Atlanta Georgia,534,53:46.9
data engineer,Denver Colorado,421,06:25.0
data engineer,San Jose California,463,17:05.0
data engineer,Atlanta Georgia,532,28:32.9
data engineer,San Francisco California,501,51:01.3
data engineer,"Seattle, Washington",447,04:17.4
data engineer,New York City New York,774,36:38.5
data engineer,Washington DC-Baltimore Area,906,57:27.7
data engineer,"Boston, Massachusetts",543,52:43.3
data engineer,"Austin, Texas",471,07:23.9
data engineer,Chicago Illinois,540,28:31.0
data engineer,Los Angeles California,495,43:52.7
data engineer,Dallas Texas,575,56:44.8
data engineer,Houston Texas,469,12:42.7
data engineer,"Raleigh, North Carolina",451,25:08.1
data engineer,Minneapolis Minnesota,469,37:40.1
data engineer,Portland Oregon,423,49:29.0
data engineer,San Diego California,417,04:42.4
data engineer,"Phoenix, Arizona",462,15:56.3
data engineer,"Philadelphia, Pennsylvania",474,28:22.5
data engineer,"Pittsburgh, Pennsylvania",405,40:48.3
data engineer,"Nashville, Tennessee",424,52:00.0
data engineer,"Indianapolis, Indiana",405,02:44.3
data engineer,"Salt Lake City, Utah",395,13:27.3
data engineer,"Miami, Florida",448,23:30.2
data engineer,"`Charlotte, North Carolina",492,35:15.6
data engineer,"Columbus, Ohio",429,47:56.6
data engineer,"Orlando, Florida",429,24:25.4
data engineer,"Tampa, Florida",457,35:09.2
